ipa	name	sound	Phonetic detail	English	German	French	Portuguese	Italian	Spanish	Swedish
a	Open central unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/5/50/Open_central_unrounded_vowel.ogg			alles	patte, là	alzheimer, Jaime, dá, lámen, àquele, maior, aquele, da, Camões, caveira	alto, sarà, must, clown	azahar	matt
aː	Open central unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/5/50/Open_central_unrounded_vowel.ogg	long		aber, sah	-				
ã	Open central unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/5/50/Open_central_unrounded_vowel.ogg	nasal		engagieren					
æ	Near-open front unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/c/c9/Near-open_front_unrounded_vowel.ogg		trap, pad, ban						ärt
æː	Near-open front unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/c/c9/Near-open_front_unrounded_vowel.ogg	long							ära
ɐ	Near-open central vowel	https://upload.wikimedia.org/wikipedia/commons/2/22/Near-open_central_unrounded_vowel.ogg			immer		falamos, câmera, taça, manhã			
ɑ	Open back unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/e/e5/Open_back_unrounded_vowel.ogg				pâte, glas				
ɑː	Open back unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/e/e5/Open_back_unrounded_vowel.ogg	long	palm, father, bra						mat
ɑ̃	Open back unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/e/e5/Open_back_unrounded_vowel.ogg	nasal			sans, champ, vent, temps, Jean, taon				
ɒ	Open back rounded vowel	https://upload.wikimedia.org/wikipedia/commons/0/0a/Open_back_rounded_vowel.ogg		lot, pod, John						
ɛ	Open-mid front unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/7/71/Open-mid_front_unrounded_vowel.ogg			Ende, hätte	baie, faite, mettre, renne, crème, peine	meta, sé, Émerson, cafezinho	elica, cioè, cash, play, spread		häll
ɛː	Open-mid front unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/7/71/Open-mid_front_unrounded_vowel.ogg	long		spät, wählen	fête, maître, mètre, reine, reître, caisse, presse, Lemaistre, Lévesque				häl
ɛ̃	Open-mid front unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/7/71/Open-mid_front_unrounded_vowel.ogg	nasal		impair	vin, impair, pain, daim, plein, Reims, synthèse, sympa, bien				
e	Close-mid front unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/6/6c/Close-mid_front_unrounded_vowel.ogg			Element	clé, les, chez, aller, pied, journée	meto, sê,prémio, prêmio, incrível, segmento	vero, perché, liaison	vehemente	
eː	Close-mid front unrounded vowel	https://upload.wikimedia.org/wikipedia/commons/6/6c/Close-mid_front_unrounded_vowel.ogg	long		eben, gehen					hel
ə	Mid central vowel	https://upload.wikimedia.org/wikipedia/commons/d/d9/Mid-central_vowel.ogg		comma, ago, quiet, focus	Name	le, reposer, monsieur, faisons				
