ipa	speech sound	name	sound	Phonetic detail	examples
b	consonants	Voiced bilabial stop	https://upload.wikimedia.org/wikipedia/commons/2/2c/Voiced_bilabial_plosive.ogg		berühren, Übung, anhaben, lieben, Februar
ç	consonants	Voiceless palatal fricative	https://upload.wikimedia.org/wikipedia/commons/a/ab/Voiceless_palatal_fricative.ogg		Zwanzig, König, Zeichen, achtzig, siebzig, Gewicht, schmutzig,
d	consonants	voiced alveolar stop	https://upload.wikimedia.org/wikipedia/commons/0/01/Voiced_alveolar_plosive.ogg		dünn, Diamant, Donnerstag, Badezimmer, Droge 
f	consonants	Voiceless labiodental fricative	https://upload.wikimedia.org/wikipedia/commons/3/33/Voiceless_labiodental_fricative.ogg		kaufen, Fahrrad, Geschäft, Reifen, Familie, Kunststoff, vierzig
ɡ	consonants	Voiced velar stop	https://upload.wikimedia.org/wikipedia/commons/5/58/Voiced_velar_stop.ogg		gehen, schlagen, Morgen, Auge, Garten, Programm
h	consonants	Voiceless glottal fricative	https://upload.wikimedia.org/wikipedia/commons/d/da/Voiceless_glottal_fricative.ogg		anheben, Flüghafen, hinten, Handy, Haus, hoch
k	consonants	zwanzig, König, Zeichen, achtzig, siebzig, Gewicht, schmutzig	https://upload.wikimedia.org/wikipedia/commons/e/e3/Voiceless_velar_plosive.ogg		Sekunde, Dienstag, Samstag, Sekretär, Kind, Königin
l	consonants	alveolar lateral approximant	https://upload.wikimedia.org/wikipedia/commons/b/bc/Alveolar_lateral_approximant.ogg		lächeln, Gold, Klub, langsam, fliegen, anhalten
l̩	consonants	alveolar lateral approximant	https://upload.wikimedia.org/wikipedia/commons/b/bc/Alveolar_lateral_approximant.ogg	syllabic	schütteln, lächeln, Schlüssel, Hügel, Gabel, Mantel
m	consonants	Bilabial nasal	https://upload.wikimedia.org/wikipedia/commons/a/a9/Bilabial_nasal.ogg		Milch,  umrühren, Mantel, Verkehrsmittel, Motor, Ehemann
n	consonants	alveolar nasal	https://upload.wikimedia.org/wikipedia/commons/2/29/Alveolar_nasal.ogg		Ehemann, zehntausend, Konsonant, vierzehn, Ozean
