ipa	name	sound	Phonetic detail	English	German	French	Portuguese	Italian	Spanish	Swedish
b	Voiced bilabial stop	https://upload.wikimedia.org/wikipedia/commons/2/2c/Voiced_bilabial_plosive.ogg	-	buy, cab	bei	bon	beiço, âmbar, sob, cabeça, sobre	banca, cibo	bestia, embuste, vaca, envidia, fútbol	bok
bʲ	Voiced bilabial stop	https://upload.wikimedia.org/wikipedia/commons/2/2c/Voiced_bilabial_plosive.ogg	palatalized							
β	Voiced bilabial fricative	https://upload.wikimedia.org/wikipedia/commons/3/37/Voiced_bilabial_fricative.ogg							bebé, obtuso, vivir, curva	
ç	Voiceless palatal fricative	https://upload.wikimedia.org/wikipedia/commons/a/ab/Voiceless_palatal_fricative.ogg	-	-	ich, durch, China	-				
ð	Voiced dental fricative	https://upload.wikimedia.org/wikipedia/commons/6/6a/Voiced_dental_fricative.ogg	-	thy, breathe, father	-	-			dádiva, arder, admirar	
d	voiced alveolar stop	https://upload.wikimedia.org/wikipedia/commons/0/01/Voiced_alveolar_plosive.ogg	-	dye, cad, do	dann	deux, grande	dedo, lenda, cedo, idade	dove, idra	dedo, cuando, aldaba	dop
dʲ	voiced alveolar stop	https://upload.wikimedia.org/wikipedia/commons/0/01/Voiced_alveolar_plosive.ogg								nord
ɖ	Voiced retroflex stop	https://upload.wikimedia.org/wikipedia/commons/2/27/Voiced_retroflex_stop.oga								
dz	Voiced alveolar affricate	https://upload.wikimedia.org/wikipedia/commons/d/d8/Voiced_alveolar_sibilant_affricate.oga						zaino, azalea, mezzo		
dʑ	Voiced alveolo-palatal affricate	https://upload.wikimedia.org/wikipedia/commons/c/c1/Voiced_alveolo-palatal_affricate.ogg								
ɸ	Voiceless bilabial fricative	https://upload.wikimedia.org/wikipedia/commons/4/41/Voiceless_bilabial_fricative.ogg								
f	Voiceless labiodental fricative	https://upload.wikimedia.org/wikipedia/commons/3/33/Voiceless_labiodental_fricative.ogg	-	fan, caff, phi	für, von	faire, vif	fado, café	fatto, cifra, phon	fase, café	fot
fʲ	Voiceless labiodental fricative	https://upload.wikimedia.org/wikipedia/commons/3/33/Voiceless_labiodental_fricative.ogg	palatalized							
ɡ	Voiced velar stop	https://upload.wikimedia.org/wikipedia/commons/5/58/Voiced_velar_stop.ogg	-	guy, bag	gut	garçon, longue	gato, signo, bingo, guerra, fogo, figueira	gatto, agro, glifo, ghetto	gato, lengua, guerra	god
ɡʲ	Voiced velar stop	https://upload.wikimedia.org/wikipedia/commons/5/58/Voiced_velar_stop.ogg								
